ISO3166-2;ISO3166-1;NAME;ALT_NAME;CATEGORY;CONTINENT
bo-c;bo;Cochabamba;;department;South America
bo-h;bo;Chuquisaca;;department;South America
bo-b;bo;Beni;El Beni;department;South America
bo-l;bo;La Paz;;department;South America
bo-o;bo;Oruro;;department;South America
bo-n;bo;Pando;;department;South America
bo-p;bo;Potosí;;department;South America
bo-s;bo;Santa Cruz;;department;South America
bo-t;bo;Tarija;;department;South America
br-ac;br;Acre;;state;South America
br-al;br;Alagoas;;state;South America
br-ap;br;Amapá;;state;South America
br-am;br;Amazonas;Amazonas (Brazil);state;South America
br-ba;br;Bahia;;state;South America
br-ce;br;Ceará;;state;South America
br-df;br;Distrito Federal;;federal district;South America
br-es;br;Espírito Santo;;state;South America
br-go;br;Goiás;;state;South America
br-ma;br;Maranhao;;state;South America
br-mt;br;Mato Grosso;;state;South America
br-ms;br;Mato Grosso do Sul;;state;South America
br-mg;br;Minas Gerais;;state;South America
br-pa;br;Pará;;state;South America
br-pb;br;Paraíba;;state;South America
br-pr;br;Paraná;;state;South America
br-pe;br;Pernambuco;;state;South America
br-pi;br;Piauí;;state;South America
br-rj;br;Rio de Janeiro;;state;South America
br-rn;br;Rio Grande do Norte;;state;South America
br-rs;br;Rio Grande do Sul;;state;South America
br-ro;br;Rondônia;;state;South America
br-rr;br;Roraima;;state;South America
br-sc;br;Santa Catarina;;state;South America
br-sp;br;Sao Paulo;;state;South America
br-se;br;Sergipe;;state;South America
br-to;br;Tocantins;;state;South America
ec-a;ec;Azuay;;province;South America
ec-b;ec; Bolívar;;province;South America
ec-f;ec;Canar;;province;South America
ec-c;ec;Carchi;;province;South America
ec-h;ec;Chimborazo;;province;South America
ec-x;ec;Cotopaxi;;province;South America
ec-o;ec;El Oro;;province;South America
ec-e;ec;Esmeraldas;;province;South America
ec-w;ec;Galápagos;;province;South America
ec-g;ec;Guayas;;province;South America
ec-i;ec;Imbabura;;province;South America
ec-l;ec;Loja;;province;South America
ec-r;ec;Los Ríos;;province;South America
ec-m;ec;Manabí;;province;South America
ec-s;ec;Morona Santiago;;province;South America
ec-n;ec;Napo;;province;South America
ec-d;ec;Orellana;;province;South America
ec-y;ec;Pastaza;;province;South America
ec-p;ec;Pichincha;;province;South America
ec-se;ec;Santa Elena;;province;South America
ec-sd;ec;Santo Domingo de los Tsáchilas;;province;South America
ec-u;ec;Sucumbíos;;province;South America
ec-t;ec;Tungurahua;;province;South America
ec-z;ec;Zamora Chinchipe;;province;South America
cl-ai;cl;Aisén del General Carlos Ibanez del Campo;Aisen;region;South America
cl-an;cl;Antofagasta;Antofagasta;region;South America
cl-ap;cl;Arica y Parinacota;Arica and Parinacota;region;South America
cl-at;cl;Atacama;Atacama;region;South America
cl-bi;cl;Biobío;Biobio;region;South America
cl-co;cl;Coquimbo;Coquimbo;region;South America
cl-ar;cl;La Araucanía;La Araucania;region;South America
cl-li;cl;Libertador General Bernardo O'Higgins;O'Higgins;region;South America
cl-ll;cl;Los Lagos;The Lakes;region;South America
cl-lr;cl;Los Ríos;The Rivers;region;South America
cl-ma;cl;Magallanes;Magellan;region;South America
cl-ml;cl;Maule;Maule;region;South America
cl-nb;cl;Nuble;Nuble;region;South America
cl-rm;cl;Región Metropolitana de Santiago;Santiago Metropolitan Region;region;South America
cl-ta;cl;Tarapacá;Tarapaca;region;South America
cl-vs;cl;Valparaíso;Valparaiso;region;South America
ar-b;ar;Buenos Aires;Buenos Aires Province;province;South America
ar-k;ar;Catamarca;;province;South America
ar-h;ar;Chaco;;province;South America
ar-u;ar;Chubut;;province;South America
ar-c;ar;Autonomous City of Buenos Aires;Ciudad Autónoma de Buenos Aires;city;South America
ar-x;ar;Córdoba;;province;South America
ar-w;ar;Corrientes;;province;South America
ar-e;ar;Entre Ríos;;province;South America
ar-p;ar;Formosa;;province;South America
ar-y;ar;Jujuy;;province;South America
ar-l;ar;La Pampa;;province;South America
ar-f;ar;La Rioja;;province;South America
ar-m;ar;Mendoza;;province;South America
ar-n;ar;Misiones;;province;South America
ar-q;ar;Neuquén;;province;South America
ar-r;ar;Río Negro;;province;South America
ar-a;ar;Salta;;province;South America
ar-j;ar;San Juan;;province;South America
ar-d;ar;San Luis;;province;South America
ar-z;ar;Santa Cruz;;province;South America
ar-s;ar;Santa Fe;;province;South America
ar-g;ar;Santiago del Estero;;province;South America
ar-v;ar;Tierra del Fuego;;province;South America
ar-t;ar;Tucumán;;province;South America
pe-uca;pe;Ucayali;Ukayali;region;South America
pe-tum;pe;Tumbes;Tumpis;region;South America
pe-tac;pe;Tacna;Taqna;region;South America
pe-sam;pe;San Martín;San Martin;region;South America
pe-pun;pe;Puno;Punu;region;South America
pe-piu;pe;Piura;Piwra;region;South America
pe-pas;pe;Pasco;Pasqu;region;South America
pe-moq;pe;Moquegua;Muqiwa;region;South America
pe-mdd;pe;Madre de Dios;Mayutata;region;South America
pe-lor;pe;Loreto;Luritu;region;South America
pe-lma;pe;Municipalidad Metropolitana de Lima;Lima llaqta suyu;municipality;South America
pe-lim;pe;Lima;Lima;region;South America
pe-lam;pe;Lambayeque;Lampalliqi;region;South America
pe-lal;pe;La Libertad;Qispi kay;region;South America
pe-jun;pe;Junín;Hunin;region;South America
pe-ica;pe;Ica;Ika;region;South America
pe-huv;pe;Huancavelica;Wankawillka;region;South America
pe-huc;pe;Huánuco;Wanuku;region;South America
pe-cus;pe;Cusco;Qusqu;region;South America
pe-cal;pe;El Callao;Qallaw;region;South America
pe-caj;pe;Cajamarca;Kashamarka;region;South America
pe-aya;pe;Ayacucho;Ayakuchu;region;South America
pe-are;pe;Arequipa;Ariqipa;region;South America
pe-apu;pe;Apurímac;Apurimaq;region;South America
pe-anc;pe;Ancash;Anqash;region;South America
pe-ama;pe;Amazonas;Amarumayu;region;South America
py-16;py;Alto Paraguay;Upper Paraguay;department;South America
py-10;py;Alto Paraná;Upper Parana;department;South America
py-13;py;Amambay;Amambay;department;South America
py-asu;py;Asunción;Asuncion;capital district;South America
py-19;py;Boquerón;Boqueron;department;South America
py-5;py;Caaguazú;Caaguazu;department;South America
py-6;py;Caazapá;Caazapa;department;South America
py-14;py;Canindeyú;Canindeyu;department;South America
py-11;py;Central;Central;department;South America
py-1;py;Concepción;Concepcion;department;South America
py-3;py;Cordillera;Cordillera;department;South America
py-4;py;Guairá;Guaira;department;South America
py-7;py;Itapúa;Itapua;department;South America
py-8;py;Misiones;Misiones;department;South America
py-12;py;Neembucú;Neembucu;department;South America
py-9;py;Paraguarí;Paraguari;department;South America
py-15;py;Presidente Hayes;President Hayes;department;South America
py-2;py;San Pedro;Saint Peter;department;South America
uy-ar;uy;Artigas;;department;South America
uy-ca;uy;Canelones;;department;South America
uy-cl;uy;Cerro Largo;;department;South America
uy-co;uy;Colonia;;department;South America
uy-du;uy;Durazno;;department;South America
uy-fs;uy;Flores;;department;South America
uy-fd;uy;Florida;;department;South America
uy-la;uy;Lavalleja;;department;South America
uy-ma;uy;Maldonado;;department;South America
uy-mo;uy;Montevideo;;department;South America
uy-pa;uy;Paysandú;;department;South America
uy-rn;uy;Río Negro;;department;South America
uy-rv;uy;Rivera;;department;South America
uy-ro;uy;Rocha;;department;South America
uy-sa;uy;Salto;;department;South America
uy-sj;uy;San José;;department;South America
uy-so;uy;Soriano;;department;South America
uy-ta;uy;Tacuarembó;;department;South America
uy-tt;uy;Treinta y Tres;;department;South America
cr-a;cr;Alajuela;;province;North America
cr-c;cr;Cartago;;province;North America
cr-g;cr;Guanacaste;;province;North America
cr-h;cr;Heredia;;province;North America
cr-l;cr;Limón;;province;North America
cr-p;cr;Puntarenas;;province;North America
cr-sj;cr;San José;;province;North America
ad-07;ad;Andorra la Vella;;parish;Europe
ad-02;ad;Canillo;;parish;Europe
ad-03;ad;Encamp;;parish;Europe
ad-08;ad;Escaldes-Engordany;;parish;Europe
ad-04;ad;La Massana;;parish;Europe
ad-05;ad;Ordino;;parish;Europe
ad-06;ad;Sant Julia de Loria;;parish;Europe
at-1;at;Burgenland;Burgenland;state;Europe
at-2;at;Carinthia;Kärnten;state;Europe
at-3;at;Lower Austria;Niederösterreich;state;Europe
at-4;at;Upper Austria;Oberösterreich;state;Europe
at-5;at;Salzburg;Salzburg;state;Europe
at-6;at;Styria;Steiermark;state;Europe
at-7;at;Tyrol;Tirol;state;Europe
at-8;at;Vorarlberg;Vorarlberg;state;Europe
at-9;at;Vienna;Wien;state;Europe
be-bru;be;Brussels;Brussels Hoofdstedelijk Gewest;region;Europe
be-vlg;be;Flanders;Vlaams Gewest;region;Europe
be-wal;be;Wallonia;Waals Gewest;region;Europe
sk-bc;sk;Banská Bystrica;Banskobystrický kraj;region;Europe
sk-bl;sk;Bratislava;Bratislavský kraj;region;Europe
sk-ki;sk;Košice;Košický kraj;region;Europe
sk-ni;sk;Nitra;Nitriansky kraj;region;Europe
sk-pv;sk;Prešov;Prešovský kraj;region;Europe
sk-tc;sk;Trenèín;Trenèiansky kraj;region;Europe
sk-ta;sk;Trnava;Trnavský kraj;region;Europe
sk-zi;sk;Žilina;Žilinský kraj;region;Europe
bw-ce;bw;Central;;district;Africa
bw-ch;bw;Chobe;;district;Africa
bw-fr;bw;Francistown;;city;Africa
bw-ga;bw;Gaborone;;city;Africa
bw-gh;bw;Ghanzi;;district;Africa
bw-jw;bw;Jwaneng;;town;Africa
bw-kg;bw;Kgalagadi;;district;Africa
bw-kl;bw;Kgatleng;;district;Africa
bw-kw;bw;Kweneng;;district;Africa
bw-lo;bw;Lobatse;;town;Africa
bw-ne;bw;North East;;district;Africa
bw-nw;bw;North West;;district;Africa
bw-sp;bw;Selibe Phikwe;;town;Africa
bw-se;bw;South East;;district;Africa
bw-so;bw;Southern;;district;Africa
bw-st;bw;Sowa Town;;town;Africa
ca-ab;ca;Alberta;Alberta;province;North America
ca-bc;ca;British Columbia;Colombie-Britannique;province;North America
ca-mb;ca;Manitoba;Manitoba;province;North America
ca-nb;ca;New Brunswick;Nouveau-Brunswick;province;North America
ca-nl;ca;Newfoundland and Labrador;Terre-Neuve-et-Labrador;province;North America
ca-nt;ca;Northwest Territories;Territoires du Nord-Ouest;territory;North America
ca-ns;ca;Nova Scotia;Nouvelle-Écosse;province;North America
ca-nu;ca;Nunavut;Nunavut;territory;North America
ca-on;ca;Ontario;Ontario;province;North America
ca-pe;ca;Prince Edward Island;Île-du-Prince-Édouard;province;North America
ca-qc;ca;Quebec;Québec;province;North America
ca-sk;ca;Saskatchewan;Saskatchewan;province;North America
ca-yt;ca;Yukon;Yukon;territory;North America
cz-10;cz;Prague;Praha, Hlavní mìsto;capital city;Europe
cz-20;cz;Central Bohemia;Støedoèeský kraj;region;Europe
cz-31;cz;South Bohemia;Jihoèeský kraj;region;Europe
cz-32;cz;Plzeò;Plzeòský kraj;region;Europe
cz-41;cz;Karlovy Vary;Karlovarský kraj;region;Europe
cz-42;cz;Ústí nad Labem;Ústecký kraj;region;Europe
cz-51;cz;Liberec;Liberecký kraj;region;Europe
cz-52;cz;Hradec Králové;Královéhradecký kraj;region;Europe
cz-53;cz;Pardubice;Pardubický kraj;region;Europe
cz-63;cz;Vysoèina;Kraj Vysoèina;region;Europe
cz-64;cz;South Moravia;Jihomoravský kraj;region;Europe
cz-71;cz;Olomouc;Olomoucký kraj;region;Europe
cz-72;cz;Zlín;Zlínský kraj;region;Europe
cz-80;cz;Moravia-Silesia;Moravskoslezský kraj;region;Europe
dk-84;dk;Hovedstaden;Capital;region;Europe
dk-82;dk;Midtjylland;Central Denmark;region;Europe
dk-81;dk;Nordjylland;North Denmark;region;Europe
dk-85;dk;Sj?lland;Zealand;region;Europe
dk-83;dk;Syddanmark;South Denmark;region;Europe
fr-ara;fr;Auvergne-Rhône-Alpes;Auvergne-Rhône-Alps;metropolitan region;Europe
fr-bfc;fr;Bourgogne-Franche-Comté;Burgundy-Franche-Comté;metropolitan region;Europe
fr-bre;fr; Bretagne;Brittany;metropolitan region;Europe
fr-cvl;fr;Centre-Val de Loire;Centre-Loire Valley;metropolitan region;Europe
fr-20r;fr;Corse;Corsica;metropolitan collectivity with special status;Europe
fr-ges;fr;Grand Est;Great East;metropolitan region;Europe
fr-hdf;fr;Hauts-de-France;Upper France;metropolitan region;Europe
fr-idf;fr;Île-de-France;Paris;metropolitan region;Europe
fr-nor;fr; Normandie;Normandy;metropolitan region;Europe
fr-naq;fr;Nouvelle-Aquitaine;New Aquitaine;metropolitan region;Europe
fr-occ;fr; Occitanie;Occitania;metropolitan region;Europe
fr-pdl;fr;Pays-de-la-Loire;Loire Country;metropolitan region;Europe
